is_an_id,time1,float2,time3,str4
26,08/27/1983 12:41 PM,397710.367946,07/10/1970 09:32 AM,cMaG
27,07/30/1986 03:08 PM,588462.245899,04/23/1973 10:44 PM,wl
28,03/24/1996 06:43 PM,465385.92018,05/17/1984 03:16 PM,6g
29,01/11/1970 02:58 AM,801937.390677,08/26/1982 04:38 PM,sH
30,04/15/2009 08:16 AM,978133.069266,09/18/1993 01:56 PM,DP
31,05/25/1995 12:39 AM,808749.297488,07/02/1989 02:42 AM,zYV
32,03/15/1995 01:04 AM,337341.4061,03/18/1972 01:45 AM,UN
33,08/08/2012 08:20 PM,544660.456991,05/29/1995 01:10 PM,E
34,10/14/1996 06:44 PM,547833.291492,07/10/2012 08:35 PM,V
35,05/07/2006 02:35 AM,584474.319189,08/03/1999 12:52 AM,G
36,06/13/2009 09:17 PM,844986.868738,12/13/2001 05:16 PM,P8
37,08/13/1996 08:08 PM,241006.082599,04/23/2002 09:27 PM,Bsy
38,12/02/1986 11:46 AM,851236.352975,07/31/2003 12:33 PM,PVhYm
39,02/13/1993 07:06 AM,968238.892046,06/21/2005 02:57 AM,29X
40,05/21/1986 05:53 AM,997552.039355,09/06/2002 09:57 PM,ck6u
41,10/23/1971 02:03 AM,727408.928045,06/27/1975 10:00 PM,j5FyW
42,10/21/1973 06:12 PM,934535.894048,02/25/1999 03:59 PM,EIzJ
43,05/08/1996 12:21 PM,877540.132258,02/21/1998 06:33 AM,3I5r7
44,07/11/1979 01:00 AM,45729.1560921,03/09/2007 10:59 AM,T8L
45,06/18/1993 11:45 AM,838793.732167,08/19/2006 02:55 PM,3s5
46,03/11/2010 08:26 PM,449621.460601,02/10/2008 08:04 PM,2x
47,04/06/1993 10:59 PM,403479.302277,03/09/1995 05:08 AM,tqL4
48,06/24/1994 08:58 PM,116210.579611,09/25/1976 02:33 PM,W88
49,07/09/1975 01:09 PM,630722.239679,07/09/1996 01:43 AM,BXj
50,11/21/1992 09:59 AM,562951.531089,06/07/1970 04:40 PM,Ub
51,10/29/1998 11:09 PM,884657.540315,04/06/1994 11:41 AM,U2j
52,07/14/1983 09:18 PM,108459.938288,08/05/1985 11:03 AM,Z
53,11/04/1995 05:24 PM,837816.818111,11/15/2002 07:45 AM,TGW
54,07/07/2013 04:26 AM,492629.560362,10/12/1980 02:39 PM,6
55,05/24/1975 07:25 AM,842667.259789,06/11/2005 04:12 PM,e
56,12/01/2013 03:41 PM,310121.52308,08/15/1981 10:11 AM,Hf4U
57,01/25/1990 07:58 PM,737280.189063,07/16/1972 07:53 PM,LddO
58,10/01/1983 08:09 PM,690366.208567,12/24/1975 06:13 AM,vEr
59,12/05/1990 04:05 AM,32329.3246407,06/05/1985 07:57 PM,18nZ
60,11/25/1989 07:23 PM,339648.727817,06/25/1997 12:48 AM,pPu
61,01/27/2008 10:05 AM,392477.665163,02/12/1996 06:30 PM,xx
62,08/24/1976 11:34 PM,332739.234376,01/26/2008 09:51 PM,TQMv9
63,03/25/2014 07:40 AM,885401.522977,09/22/2004 04:16 AM,ri
64,01/12/1986 06:23 AM,873294.732411,06/14/1978 08:06 AM,m
65,09/02/2012 05:43 AM,548253.167159,03/02/2002 12:03 AM,3X
66,07/20/1995 04:28 PM,991175.51508,07/29/2014 07:21 AM,i
67,02/24/2005 12:04 PM,258896.671938,01/04/1984 04:21 PM,AO
68,11/12/2004 05:18 PM,766590.615079,03/31/1973 03:23 PM,XM
69,05/17/1978 04:22 AM,218746.013674,02/22/1973 03:37 PM,F
70,07/13/1987 10:43 PM,233142.113329,06/13/1976 08:36 PM,Ma7
71,12/26/1984 11:05 PM,708941.693692,05/28/1999 06:48 PM,htG6I
72,05/31/1979 08:19 AM,395250.911093,08/13/2000 11:54 PM,m6uH
73,02/29/2012 11:28 PM,636825.715188,04/09/1989 11:57 AM,Ntc1
74,10/18/1975 01:53 PM,417582.503629,10/25/1997 03:37 PM,kJvZ7
75,01/26/2012 03:11 AM,291890.811742,04/16/1998 06:28 PM,3nwP
76,03/19/1987 07:45 AM,494337.770579,06/06/2003 06:19 PM,x
77,10/10/1981 01:18 AM,569579.232897,10/14/1996 03:25 PM,VkC5
78,07/09/2012 09:37 AM,664422.793671,08/04/1973 08:42 PM,yL
79,03/07/1976 10:09 AM,792253.9366,03/25/1971 06:37 AM,ZhK
80,06/08/2009 01:41 AM,469273.452813,10/10/1986 12:02 AM,J
81,07/05/1983 11:57 PM,32712.7308622,10/13/2014 06:52 PM,1F
82,02/28/1992 07:47 PM,99506.8894853,06/23/2012 12:10 AM,X
83,12/15/1982 12:39 PM,26354.0402842,05/28/1987 03:52 PM,FB
84,05/25/2013 09:30 AM,190904.713737,09/16/1991 08:55 AM,Bgl
85,08/01/1980 04:44 AM,217300.884235,04/25/1981 02:12 PM,t
86,03/17/1997 10:51 AM,681444.622944,08/18/1971 09:00 AM,O2ux
87,07/27/1978 09:13 PM,908053.574809,09/13/1996 04:55 PM,MsLz
88,08/20/2004 10:54 PM,817986.16853,08/13/1974 07:26 PM,I4V
89,08/16/1999 02:45 PM,897137.193007,12/17/1976 09:24 PM,UrBe
90,12/12/1978 06:48 PM,956633.285056,04/13/2009 12:18 AM,uD
91,12/08/2012 08:36 PM,692686.601629,08/06/2000 02:40 AM,k2GrY
92,01/13/2001 08:21 PM,248525.848711,03/17/1983 03:34 PM,XIOz
93,02/17/1991 06:41 PM,444661.930768,11/01/1994 07:55 AM,Ina
94,06/11/1973 10:48 PM,429335.750812,03/16/2008 09:14 AM,uADU8
95,09/02/1982 05:56 PM,92882.4044113,12/09/1980 09:01 AM,PSSVA
96,05/21/2001 03:56 AM,209888.401562,08/23/1989 07:46 AM,p
97,09/27/1985 07:12 PM,927342.355369,01/05/1985 08:30 PM,NUDZ
98,11/28/2013 01:05 AM,241494.946355,09/05/2008 02:47 PM,xrTIy
99,12/18/1988 12:19 PM,237376.442464,02/01/1998 04:32 PM,p9
100,09/13/1986 04:15 PM,420096.213637,10/25/2000 10:17 AM,i
101,03/22/1985 08:09 PM,454637.859116,06/09/2005 10:59 AM,z9
102,08/16/2006 01:46 AM,594229.820932,01/02/2014 07:32 PM,iK
103,08/15/1987 12:33 PM,519763.485642,10/24/2013 05:30 AM,9dd
104,02/11/2007 02:48 PM,899084.585657,09/22/1992 08:28 PM,mw9
105,12/19/1988 04:52 PM,432100.76618,04/21/1998 12:32 AM,UPu
106,05/07/2007 08:00 PM,477257.290082,04/20/1981 03:36 PM,fR
107,03/04/1996 02:47 AM,419290.042387,04/18/1994 04:47 AM,RuIX
108,12/31/1994 01:34 AM,682611.056316,07/05/2000 10:01 PM,ogY
109,12/05/1972 06:21 AM,407614.39289,07/11/1990 04:16 AM,qlrC3
110,06/15/1985 10:33 AM,980305.155098,06/21/1975 08:08 AM,mB17
111,07/22/1993 09:15 PM,793773.864703,02/17/1999 03:01 AM,kG
112,08/19/1986 07:57 AM,92371.6745181,12/23/1983 10:07 AM,WGYS
113,10/11/1996 03:15 PM,954140.376973,03/03/2008 02:04 PM,qP5M
114,10/27/1994 08:40 PM,51135.5198649,07/31/2011 04:09 PM,bRSmO
115,01/16/1972 07:18 AM,716347.427822,05/24/1990 08:50 AM,6D4Ny
116,03/09/1986 03:55 AM,332799.857378,08/15/1997 01:37 PM,qP4e7
117,08/27/2010 03:52 PM,756810.971061,01/03/1997 09:06 PM,C
118,04/27/2011 10:23 AM,895076.611725,08/06/1994 06:42 PM,w
119,07/01/1979 10:27 PM,491828.270501,10/09/1990 10:54 AM,sMQOT
120,06/22/1990 07:09 AM,540019.811677,04/28/2002 03:37 PM,HJUlX
121,05/27/1995 11:19 AM,214502.066034,05/20/1994 07:43 PM,sFh
122,05/30/1995 09:38 PM,428387.62411,06/03/1973 01:50 AM,1p8
123,02/22/1992 04:38 AM,581481.468653,11/24/2005 12:27 AM,wx
124,03/20/1976 11:08 AM,507273.890622,03/24/1990 05:01 PM,sH
125,07/16/1976 04:08 AM,813291.727287,02/19/1999 12:52 AM,2G
126,07/04/1980 05:22 AM,340016.128831,06/04/1985 02:31 AM,R
127,01/31/1978 02:40 PM,773916.62667,11/07/1990 04:43 AM,kEz
128,08/12/1982 04:31 PM,976884.543773,12/24/1980 10:28 PM,n
129,01/15/1984 09:41 AM,972529.10202,05/21/2007 12:18 PM,Hw9J
130,08/12/1995 01:33 AM,949550.985574,11/19/1999 08:08 AM,mIm
131,11/05/1999 07:21 AM,568999.471846,07/21/2014 01:38 PM,gJzkY
132,11/02/1975 08:32 PM,12609.4320664,02/17/2011 03:11 PM,Ye
133,04/08/2011 08:39 PM,324632.700728,02/18/1985 06:20 AM,2w
134,08/29/1997 07:51 AM,21052.072358,11/16/1976 05:36 PM,ASO
135,04/29/2003 08:10 AM,370279.438544,11/13/1974 02:59 AM,uFe1
136,09/29/1974 03:19 PM,322587.453369,07/11/2013 06:55 PM,kIX
137,04/30/1997 02:21 AM,294342.807502,08/28/2006 03:18 AM,8T
138,05/17/1980 05:47 AM,744384.315107,12/02/1982 05:22 PM,e
139,06/28/1997 01:08 PM,301905.420208,09/24/2014 06:10 PM,jqy
140,11/28/1994 03:32 PM,739040.951263,07/22/2013 03:47 AM,pJTo
141,12/19/1977 09:54 PM,435584.666289,11/26/2000 10:43 PM,de
142,02/10/1983 06:57 PM,159842.457392,08/27/1994 08:04 AM,a
143,04/08/1994 09:50 PM,167720.399353,06/02/1983 02:28 PM,f
144,07/31/1996 09:48 AM,391870.540045,06/14/2011 03:20 AM,O7
145,09/19/2011 10:40 PM,402568.64369,11/06/1983 07:37 AM,R9Krd
146,11/11/1972 11:28 PM,725155.813867,10/29/2008 09:55 PM,s
147,06/01/1974 04:33 PM,348209.218967,09/25/1991 01:15 PM,tyrx
148,07/09/1997 02:02 AM,391116.324097,08/29/1989 06:32 PM,yxbFJ
149,12/16/1980 05:28 PM,984662.520562,12/24/1978 11:08 AM,4Xt4m
150,09/02/1988 08:48 AM,652122.639477,11/02/2001 01:03 AM,tGe
151,04/22/2011 05:11 AM,905303.376665,10/18/2010 07:16 PM,IwcLV
152,04/05/2001 06:50 PM,395569.57435,10/21/1995 09:02 PM,s
153,05/14/1980 01:24 AM,694429.995901,12/20/1983 12:49 PM,P8f
154,04/29/1984 09:28 PM,492069.55113,04/01/2012 12:46 AM,orZE9
155,10/13/1992 05:44 PM,492368.243545,08/24/1974 01:01 PM,nAM
156,08/22/1970 06:27 AM,180609.846489,08/29/2004 05:15 PM,1nxM
157,01/27/1985 07:48 PM,565917.645682,07/15/1983 01:21 AM,6
158,10/25/1978 06:53 AM,68545.3763467,08/13/1974 11:15 PM,XfBsL
159,10/29/1973 10:39 PM,635305.702011,07/22/2011 07:41 PM,gy
160,04/19/2003 07:45 AM,586537.3601,06/11/1996 07:02 PM,FYbc
161,03/02/2009 08:01 AM,479693.35988,01/30/1981 02:13 AM,n29B3
162,11/06/1977 06:03 PM,854676.317885,04/28/1996 09:59 AM,Esbf
163,12/26/1993 12:46 PM,589810.907786,12/17/2001 04:08 PM,WLeL
164,11/15/1994 12:32 PM,152961.822803,03/22/1979 01:50 PM,kpgeK
165,01/06/2003 06:34 PM,427872.117072,05/22/1988 06:06 AM,c
166,11/06/1998 04:24 PM,173619.498574,11/17/1970 09:30 PM,D1v
167,02/21/2010 03:26 PM,218084.658697,11/24/1976 08:30 PM,Cw
168,01/14/1987 04:33 AM,264291.813316,11/03/1973 03:45 PM,fsLjh
169,04/27/2006 11:47 PM,535591.610134,08/05/1972 07:45 PM,eW
170,02/22/1996 07:37 AM,12011.982551,03/30/2014 09:47 AM,IcR
171,03/06/1994 09:39 AM,813611.228184,03/31/2003 07:44 PM,T1ljV
172,05/10/1990 06:15 PM,368989.472777,06/26/2013 03:36 PM,Y
173,11/14/2008 12:46 PM,888157.886117,12/21/1997 04:06 PM,i
174,12/15/2003 10:26 AM,909629.194447,03/22/1973 01:03 PM,T2w
175,07/04/1971 10:27 PM,373310.184198,02/01/2004 09:11 PM,DhXM
176,12/06/1986 05:36 AM,14662.2130484,05/25/1996 12:23 AM,yXcM
177,03/23/2003 09:46 PM,684287.098747,06/28/1973 05:43 AM,c2t1L
178,10/27/1974 10:44 PM,972120.027912,06/23/1972 11:30 PM,chR
179,02/09/1996 09:20 AM,602467.905849,07/28/1986 08:43 AM,V
180,12/21/1982 11:25 PM,96316.6232294,11/18/1971 04:52 PM,zguv
181,03/27/1996 10:41 PM,262473.10658,08/04/1978 11:17 AM,3Dd
182,01/30/2003 04:30 AM,381543.501021,10/05/1984 02:52 PM,HN
183,07/15/2004 06:25 AM,162269.02756,12/09/1984 10:43 PM,jbyc
184,03/13/1973 01:16 PM,177471.747698,06/21/1992 04:00 PM,S
185,08/02/1970 12:08 PM,500515.60206,09/03/2000 03:30 AM,D
186,03/18/2009 03:55 PM,55504.1220713,08/11/1994 01:34 PM,9Sfrb
187,10/15/1971 10:03 AM,864466.391732,07/09/1989 08:24 AM,Bj4S
188,11/16/2013 09:43 PM,727059.845492,12/23/2003 01:09 AM,FC
189,09/28/2004 03:15 AM,805114.490844,06/17/2003 05:25 AM,v
190,11/11/1993 04:38 PM,190086.867951,04/04/1984 08:02 PM,p
191,10/15/1976 08:32 PM,131790.222522,02/16/2004 12:26 PM,RaFS
192,08/07/2002 12:05 AM,758593.641938,10/09/1979 01:27 AM,E8
193,01/13/2007 11:06 PM,993083.447871,11/05/2007 06:10 PM,8
194,03/10/1979 09:57 PM,194802.131631,06/22/2003 11:12 PM,H5Uz
195,09/15/1994 08:33 PM,372668.42118,06/23/2014 12:11 AM,38u3V
196,02/09/1993 07:14 PM,772551.836645,08/27/2005 07:58 AM,teVa
197,03/22/1973 06:05 PM,992070.739749,06/23/1987 04:34 AM,iG
198,02/14/2003 11:50 AM,744036.312707,07/07/1970 12:17 PM,h2s34
199,05/27/1997 04:19 PM,474652.859358,12/19/1984 01:37 AM,TREY
200,03/05/2011 02:34 PM,757585.428912,09/30/2004 09:41 AM,8B
201,02/01/1981 08:20 PM,666174.955688,05/22/1982 01:50 PM,af
202,03/12/1998 01:35 AM,921736.653706,01/03/1977 02:20 AM,NjO7o
203,03/05/1970 10:21 AM,761855.47322,09/09/1993 10:44 AM,tqyzL
204,07/28/2008 01:43 AM,917338.039606,03/22/2010 11:29 AM,UD
205,04/12/1985 02:28 AM,963554.390609,04/17/1988 01:22 AM,Dm1
206,05/17/2005 06:46 AM,241627.484723,06/06/1995 08:21 PM,W
207,08/05/1976 11:05 PM,947587.888842,02/03/1977 01:34 PM,m
208,06/25/1972 01:29 AM,752978.311563,10/23/2006 07:05 PM,dVU
209,05/26/2010 09:02 AM,276580.306959,05/26/1971 10:56 PM,eK
210,03/09/2008 04:10 AM,980201.533637,05/19/2013 09:45 PM,1W99o
211,03/01/1981 08:26 PM,376516.210078,05/20/1994 05:51 PM,OEoK
212,11/01/1981 10:58 AM,953254.682416,08/21/1979 01:45 PM,SK
213,05/17/2012 06:25 PM,299447.859916,01/11/2013 02:23 PM,B2h
214,12/09/2008 11:53 PM,274323.05,08/08/1990 04:15 AM,EFya
215,12/30/1973 04:35 PM,30733.7090538,09/14/1988 12:20 PM,uA
216,03/10/1982 08:53 PM,123357.261539,07/15/1970 05:44 PM,Pad
217,12/16/2000 12:39 PM,825471.696225,01/21/1985 04:07 PM,JnMD
218,07/06/1976 06:40 AM,172727.897454,05/10/2014 01:41 AM,en3n9
219,01/30/1986 01:18 AM,725749.863956,04/08/1992 11:24 PM,N9
220,02/01/1991 09:31 PM,482415.760055,01/05/2002 11:53 AM,Lwc
221,09/29/1990 07:24 PM,35650.004252,04/04/1985 11:44 PM,2z1q
222,11/23/1971 08:25 PM,321005.246309,04/29/1990 01:37 PM,AQ
223,01/14/1979 12:47 PM,854698.492488,08/09/1974 10:46 PM,3
224,05/20/1984 01:06 PM,143458.533418,08/09/1991 08:46 PM,Y
225,03/15/2008 03:15 PM,686470.721858,07/23/2000 10:39 PM,aiqfd
226,09/01/1991 06:30 AM,265468.857376,02/18/1993 06:01 PM,V
227,03/15/2006 06:45 AM,531716.405372,07/24/2011 06:09 PM,Kn
228,01/30/1988 08:09 AM,75976.6089746,09/17/1977 04:55 AM,3DRTC
229,04/22/1984 09:17 AM,175171.291351,08/13/1979 07:54 PM,XOh
230,11/14/1990 12:49 AM,133465.29089,11/09/2011 03:54 PM,gf
231,09/09/2010 07:20 PM,71417.7018242,09/02/1983 11:11 PM,wH3
232,08/25/2012 03:15 PM,941704.440124,11/17/1989 06:07 AM,M2v
233,06/28/2012 07:48 PM,199162.099987,10/23/1982 09:41 PM,f6izL
234,01/24/1972 05:58 PM,120380.692717,11/26/1996 12:25 AM,u4a
235,07/02/2003 04:41 PM,465976.793469,08/05/1995 06:19 PM,15C
236,01/30/1979 04:20 AM,573952.293202,06/11/1987 06:10 AM,ZR
237,06/17/1980 03:41 AM,552059.569874,12/27/1993 03:09 AM,T5vJm
238,03/02/1985 08:23 PM,508340.296853,12/09/2002 11:04 AM,7
239,06/10/1996 02:16 PM,134601.881871,02/11/2014 12:50 AM,8m
240,03/09/2007 10:28 PM,313180.833089,12/06/2001 09:08 PM,Cu5
241,08/01/2009 06:01 PM,420693.964811,04/13/1977 03:33 AM,bOsi
242,01/02/2008 03:38 AM,403436.430451,05/08/1985 03:39 AM,ZZyu
243,05/02/1973 06:40 AM,281461.670187,01/25/2012 09:40 PM,e
244,08/01/1989 01:32 AM,189781.395346,08/21/2005 02:16 PM,1wcU
245,10/09/1984 01:40 PM,177410.57989,06/24/1996 05:37 AM,jvm27
246,06/28/1993 02:20 PM,17781.2962847,07/07/1993 11:01 AM,zrr
247,12/22/2001 11:04 PM,784590.438292,07/22/2005 09:37 AM,4H6
248,04/01/2011 04:29 PM,536546.182159,06/04/1997 09:29 PM,1qA
249,07/25/1980 01:49 AM,805276.577049,09/21/1994 11:45 AM,9wxn
250,08/31/1990 04:38 PM,421656.311946,12/24/1992 07:48 PM,3
251,11/08/1970 03:10 AM,715402.467539,03/24/1993 02:20 AM,w5Bk
252,09/18/1984 11:15 PM,727987.92643,09/21/1996 07:58 AM,ybP
253,11/01/1991 09:57 AM,715110.953906,09/24/1987 01:24 AM,U
254,05/18/1982 03:55 AM,456470.664943,05/20/1971 05:15 AM,8Rh
255,09/19/1989 04:35 AM,86550.8617109,04/13/2008 07:58 AM,H91J
256,08/13/1992 02:59 AM,589812.447054,03/09/1985 11:11 AM,Znp
257,04/16/2013 07:22 PM,67392.3390515,03/30/1985 02:47 AM,iL
258,12/06/1988 01:57 AM,153163.84374,01/06/1979 03:39 AM,C6FVv
259,04/27/1999 04:44 AM,136268.777862,09/06/1997 06:07 PM,1XIKr
260,09/02/1972 06:43 AM,294825.658989,10/10/1970 01:26 AM,TIER
261,08/13/1993 10:20 AM,981914.51425,09/13/1993 10:37 PM,z66Xb
262,04/12/1996 05:42 PM,717837.981251,09/17/2000 04:18 PM,o
263,04/02/1994 09:05 PM,485343.24077,02/19/1991 10:04 AM,ZWS
264,07/06/1984 07:09 AM,659425.803255,12/18/1978 11:34 AM,DgDbk
265,06/08/1970 01:35 AM,312243.510776,05/03/2005 03:26 PM,R
266,01/24/1995 12:53 AM,727933.612728,01/04/2002 09:31 AM,qE63r
267,05/13/1972 09:46 AM,119970.641741,12/01/1993 05:32 AM,r
268,06/30/1981 02:42 AM,594772.692216,05/05/1974 05:47 AM,QJt3
269,12/25/1988 01:10 AM,434462.938191,06/11/2002 12:12 PM,YGvh
270,12/30/1973 01:51 AM,738610.871525,11/21/2009 05:03 PM,w6Z
271,10/05/1981 09:21 PM,902535.484227,06/03/2009 12:15 PM,L9rsn
272,07/24/1970 06:44 PM,257594.780679,03/03/1988 03:24 PM,I
273,08/15/2008 04:12 PM,238259.353963,06/18/2008 06:49 PM,FJ
274,06/02/1987 07:52 AM,934826.201405,01/23/1979 02:17 AM,Xf
275,01/13/1977 08:10 PM,185802.198145,02/26/1973 11:00 PM,w5
276,08/04/1988 08:45 AM,69097.9672516,11/23/2010 10:36 AM,j
277,04/13/2004 04:18 PM,93841.2883376,03/20/2009 01:47 PM,Nqh
278,03/11/1983 02:15 AM,300098.543479,07/19/1985 07:45 PM,QG
279,12/25/1977 11:56 AM,598495.723455,06/26/1981 01:02 PM,QmrY
280,02/17/1987 01:00 AM,569720.577248,12/18/1994 01:26 AM,91ej
281,03/26/2006 07:32 AM,908115.356648,09/16/2010 04:54 PM,Kh7
282,03/08/1970 11:01 AM,880618.549649,06/14/1993 12:10 PM,h
283,03/13/2010 08:21 AM,825482.582969,04/03/2014 01:05 PM,e1g
284,11/28/1996 08:23 AM,243043.911467,03/05/1984 01:39 PM,I7y4
285,11/13/2004 02:44 PM,12663.9032496,10/03/2013 05:41 AM,Nep9
286,01/09/1976 10:29 AM,900316.543337,02/27/1992 09:12 PM,fZx
287,03/17/1995 09:39 PM,413254.54515,12/14/1983 10:51 AM,OK
288,08/19/1999 11:33 PM,132719.608915,02/15/2001 12:41 AM,SHj
289,04/04/1992 01:16 AM,263511.39065,12/26/2013 05:20 PM,jzulD
290,05/03/1973 06:25 AM,251825.671486,10/19/1993 06:53 AM,Gy85
291,09/02/2011 07:49 AM,702497.536494,01/12/1990 03:39 PM,3Zeod
292,11/24/2009 06:28 AM,691509.876066,05/10/1973 03:38 AM,De
293,06/15/1997 06:08 AM,674637.435174,08/12/2007 10:45 PM,qx
294,07/22/1975 12:13 AM,289893.266568,07/09/2008 05:56 AM,BdfoQ
295,11/22/1988 05:10 AM,289513.168616,02/13/2000 10:59 PM,15Oj
296,07/09/1997 02:24 AM,920343.791438,09/03/2005 08:39 AM,yfTn
297,07/06/1998 01:31 AM,510854.962607,02/13/2006 11:15 AM,FEFOF
298,08/30/1994 03:51 PM,406296.467132,07/18/1980 08:33 PM,Dxa
299,06/11/2000 12:01 PM,491203.36451,07/22/1987 03:40 PM,NLdrS
300,05/24/1995 09:34 AM,431543.837485,08/10/2012 11:53 PM,Tpsl
301,12/03/1985 12:43 AM,531747.456603,09/20/2001 05:29 AM,7i
302,05/22/1989 01:51 PM,435175.572958,04/06/2007 10:13 PM,b3r
303,09/10/1981 06:17 PM,613097.259418,04/26/2010 11:45 PM,WIU
304,12/04/1970 01:00 AM,248699.212827,03/16/1992 08:02 AM,6zBh
305,10/08/1973 01:05 AM,460453.880843,04/07/1979 09:40 AM,9
306,07/28/1994 03:10 AM,322930.094325,09/17/2013 05:18 PM,JidcW
307,08/31/1974 01:03 AM,841754.842191,07/16/1988 02:35 AM,p8j6
308,07/23/2000 11:03 AM,811199.487926,12/01/2005 03:35 PM,lH4Yh
309,06/19/1979 12:40 AM,226473.797262,04/17/1985 02:27 PM,9b
310,05/26/1979 11:04 AM,29982.8497076,07/05/1973 08:26 PM,GdpX
311,07/18/2002 12:19 AM,383701.832741,04/15/1990 06:20 AM,9lqx
312,07/18/1971 12:16 AM,4061.294491,11/26/1987 09:47 AM,f9kTB
313,12/28/2013 02:04 PM,882172.672511,09/10/1995 01:53 PM,FeU
314,07/22/1991 11:34 PM,278006.289269,06/23/1998 07:16 PM,YkqGG
315,08/31/1983 04:14 PM,414700.488392,01/12/1999 10:29 AM,ux1e
316,12/15/1979 10:42 PM,671240.058021,09/22/1976 12:18 AM,cpz63
317,03/04/1990 04:56 PM,656369.520731,07/29/1991 05:07 AM,m6
318,05/04/1984 08:10 PM,468286.279716,11/25/1975 01:47 PM,KgMd
319,03/17/1983 10:22 PM,716272.237894,04/13/1992 06:09 AM,su788
320,07/06/2008 03:27 AM,928872.11113,02/16/1999 07:27 AM,f
321,09/08/1976 12:12 AM,377311.371199,10/31/1983 11:30 AM,URk9
322,12/04/1989 07:23 PM,452676.545933,07/21/2001 01:39 AM,k
323,09/26/1996 01:48 PM,514477.451213,05/24/1995 03:11 PM,tIy
324,06/25/1970 12:37 PM,809464.872362,09/20/2006 10:44 PM,DV9i8
325,09/09/1974 04:59 AM,314006.910624,04/29/2002 02:14 PM,Jmcyh
326,12/02/1973 06:18 AM,477947.228932,01/15/1990 08:29 AM,ZyYE
327,05/23/1990 03:33 PM,152728.70186,02/18/1974 12:39 AM,4PMVF
328,02/25/1971 01:16 PM,98852.3040847,12/02/1987 05:25 PM,s82
329,12/22/1987 10:38 AM,641731.205477,12/21/1972 04:38 AM,9d4j
330,06/15/1971 08:16 PM,312245.202432,06/26/2013 10:53 AM,Ru
331,07/03/1985 09:27 PM,655121.316161,09/03/2010 10:42 PM,lY1p2
332,10/28/1975 05:37 PM,113898.255461,10/01/1971 07:35 PM,ACx
333,09/27/1982 05:35 PM,537335.699224,01/12/1979 04:18 PM,gMdW
334,06/03/1983 10:47 AM,254173.297395,01/17/1986 02:45 AM,rfO
335,01/13/1970 03:07 PM,274048.465202,09/06/2006 10:35 PM,uQb
336,12/31/2010 12:25 AM,922425.178325,02/18/1976 11:38 AM,3O4D
337,10/29/1995 04:33 AM,605776.07661,10/12/2003 04:21 PM,C2j7Q
338,09/15/1974 06:49 PM,859100.070939,02/27/2012 09:40 AM,2ZU
339,01/13/1999 11:54 AM,583964.91461,06/19/1981 08:22 AM,OY47i
340,10/31/1999 09:47 AM,134100.654631,05/12/2013 04:20 AM,fT
341,01/24/1981 04:52 AM,618424.72697,01/17/2000 12:50 PM,f
342,03/21/1992 04:10 PM,379895.922947,03/12/2011 05:29 AM,XWU
343,04/04/2014 01:41 AM,34418.5399296,03/06/1998 12:46 PM,M
344,10/03/2000 10:01 PM,784881.760041,02/21/2012 11:43 PM,nFT
345,05/23/1987 05:01 AM,427447.82236,08/30/2010 09:58 AM,6m
346,06/25/1979 06:48 AM,915028.55199,03/24/2014 03:36 PM,h
