id,str1,str2,time3,int4
71,LISL,dQd,01/10/1973 03:53 AM,364210
72,DbYL4,8BE,06/09/1971 03:03 PM,60445
73,smI,x,12/19/2012 10:14 AM,604882
74,2faI,x1,04/23/2001 03:37 PM,751519
75,HuzzR,e,01/14/2005 09:06 AM,411272
76,Xfd,GB,12/30/1992 10:13 AM,93929
77,7,Abur,09/26/1976 09:21 AM,897091
78,VL,JxsP,03/30/1990 06:53 AM,985545
79,xgPQ,4BvA,08/30/1997 06:37 AM,155630
80,NWz,4ehw,04/22/1979 10:06 AM,608606
81,zYB,AYwl,12/16/2008 04:47 PM,258494
82,DMyW,RV,08/12/1983 04:52 AM,154325
83,4d,PE5l,08/08/2008 08:30 PM,132698
84,OdnP,ypmH,03/02/1973 06:03 AM,852753
85,S,E,06/05/1988 09:59 AM,192592
86,pCY,I,12/08/1988 12:05 AM,334937
87,n,R7W4,03/04/1978 09:12 AM,581714
88,z,fg6qa,02/17/2012 11:00 AM,78505
89,ZVPnG,k,06/26/2000 01:18 AM,905088
90,i,nAMxD,08/25/1985 09:18 PM,49269
91,spWnu,cm,11/08/1979 07:29 AM,138903
92,E,Pr2,04/15/2004 11:11 PM,797776
93,MAha,KrF,05/18/1989 10:27 AM,988085
94,lonD,Nicv,01/29/1989 02:18 PM,762918
95,MY,k,06/26/1978 01:27 PM,607737
96,h,Av,08/27/2011 02:36 PM,710540
97,f,dFEOa,08/24/1986 12:47 AM,679376
98,LSm,dh,04/16/2002 08:13 PM,381556
99,MgUfY,X,06/02/2001 11:01 PM,910793
100,1yQ,tYugz,11/25/2000 06:45 AM,758937
101,vOpB,K2He,10/17/1984 12:30 PM,842424
102,Zlv,msz,07/23/1989 03:10 PM,597498
103,R,A1S,07/05/2013 07:33 AM,470823
104,zn,LOy,03/26/1999 04:17 AM,139959
105,GVhpx,A18p,08/15/1974 10:31 AM,72192
106,59,n,08/10/2010 06:56 PM,786575
107,o2WZt,1Vj,03/19/2004 08:16 AM,808857
108,TWijP,TwzU,10/31/1981 08:32 AM,650584
109,qCwC,C,12/08/1993 03:08 PM,168130
110,MPS,k,01/16/1977 12:01 AM,735029
111,2,hRx7,11/07/2004 11:09 PM,3890
112,IHmW,chz,10/14/1972 10:02 PM,135927
113,2pUX,L,04/29/1979 01:21 PM,619630
114,XYpk,Za,05/21/1979 10:33 AM,100857
115,Wn5W,e7,05/13/2006 03:59 PM,395906
116,MfLgP,r,02/27/1998 03:57 PM,775842
117,iO8,nk4y,03/02/1986 07:43 PM,801542
118,1Zi,n,10/21/1991 12:05 PM,363995
119,Rgr,nDtMU,07/24/1979 11:27 AM,677137
120,8G82s,2,04/29/1983 10:11 PM,616863
121,I,p,09/21/2005 07:17 PM,650677
122,jyUzX,t82bd,12/13/2009 02:33 PM,331479
123,M,839,03/01/1979 10:24 PM,599253
124,2W2B,N,11/18/2004 04:20 AM,384086
125,XM3,Oe,10/24/1975 09:59 AM,29890
126,8xt8j,7SiYj,02/26/1995 09:46 PM,532363
127,RQ1tM,Dj,09/23/1974 12:59 AM,481611
128,Tm7Wz,NdUZk,06/17/2004 01:55 AM,565562
129,tFgf,xn,07/13/1984 01:15 PM,699503
130,Q,Xp85a,02/25/2008 03:28 PM,606790
131,Z8,K3KPw,01/15/1975 08:02 AM,674153
132,dH,Ghv2W,06/08/2000 07:47 AM,252651
133,LH,5nl1,06/24/1977 04:58 AM,821668
134,Wgu,2I,10/27/2006 07:22 PM,680881
135,jAGA,T8Ee,10/22/2008 11:14 PM,42344
136,GLpDD,9,12/09/1994 12:47 PM,846998
137,2pO4,p,08/13/1973 10:44 PM,126246
138,N,4YNnO,08/07/1977 10:12 AM,917545
139,B3J,x3U,10/11/1991 04:51 PM,51028
140,5,szyKB,07/13/1997 03:06 PM,980704
141,EAyI1,mME9,08/29/2002 10:37 PM,770438
142,Mb,vXE,08/31/1998 03:07 AM,939322
143,xFU,i9LC7,05/14/1988 12:40 PM,152252
144,i,nmHCW,12/28/2013 07:13 PM,214443
145,gJ,Yzn,01/08/1996 08:58 PM,340553
146,y,H,09/16/2008 07:53 AM,599236
147,Oppr,e67,10/25/1974 11:18 PM,142881
148,k,a9,01/22/1993 06:29 PM,749412
149,HtaQM,g,09/15/1986 05:20 AM,197289
150,llu,Gn,10/28/1998 08:56 AM,751130
151,B,RR2,10/12/1993 06:16 AM,59103
152,RQ,xEr,02/11/2009 07:00 AM,744341
153,c78m,R,12/12/2008 06:57 AM,576172
154,HSiT5,U,12/21/1989 01:11 AM,321413
155,yVIxb,bp8Fi,07/03/2002 11:04 AM,713854
156,p,L4n1,05/18/2013 12:28 AM,648241
157,RLm,VX,11/10/2007 05:32 AM,39667
158,QuL,ab,05/26/2012 11:39 PM,65495
159,Ez,IlU6,07/24/2005 09:32 PM,301797
160,Qx,XEV,10/03/2007 01:14 AM,529905
161,h,evtB,06/14/2006 01:31 PM,417830
162,bj,v7,02/21/2014 09:21 AM,301585
163,g,JKkl,02/01/1993 03:14 AM,668847
164,v7RGl,IPoc5,05/27/1977 06:57 PM,886838
165,QO,UjdG4,06/06/1995 08:57 AM,13383
166,yKA,qR,10/07/1976 04:28 AM,70008
167,1RL1,1w,11/16/1976 05:44 AM,633056
168,Uh2Rw,r7B9w,09/29/1986 05:51 AM,812206
169,EK,Z4PD,07/29/1985 09:18 AM,232334
170,KNZ,BjONg,11/12/2014 09:04 AM,350644
171,roP,F,06/06/2013 03:20 AM,708405
172,WyBK,i,04/14/1982 10:56 AM,716397
173,h,7ywRW,03/26/2001 03:45 PM,695571
174,at2TF,aFu,10/03/1974 04:10 AM,245203
175,D,oqVea,10/22/1994 08:21 PM,185597
176,p8,C,03/08/1995 12:20 PM,160815
177,Z4K,A,10/06/1999 02:37 AM,724539
178,fN4H2,wuR,01/13/1970 06:50 AM,126066
179,V,F27,03/24/1991 09:31 AM,281575
180,p1x6W,Vq,05/24/1993 07:01 PM,652215
181,EiP,qF,04/14/1995 11:20 PM,317196
182,q95oh,MeH,04/16/1996 06:38 PM,289198
183,K,Ro,03/06/2000 06:35 PM,647312
184,Vu,Ihahw,03/08/1989 01:30 AM,414407
185,bdLmE,j5,01/25/1982 01:36 PM,234424
186,t,Eysh,10/17/2005 12:07 PM,559089
187,P,U,08/22/1970 11:00 PM,116583
188,Vq,yNEF,05/28/2002 01:43 AM,68064
189,zox,9pz,05/10/1998 03:15 PM,200648
190,nLArP,k6m9V,05/29/1994 03:01 AM,758685
191,qqj,kC,11/10/1990 08:47 AM,946975
192,KL,Gx9,02/11/1977 07:50 PM,419873
193,T,4,01/25/1985 10:53 AM,737338
194,4nzqX,ek,05/15/1997 07:15 PM,258310
195,BO,QFSy,06/08/1990 10:40 PM,183731
196,f,4l,11/06/1989 07:50 AM,979745
197,Bsq,OmIt,12/13/1985 06:01 AM,916322
198,V,4br,03/27/1992 01:10 AM,429423
199,34NH7,rB,07/07/2009 06:44 PM,246145
200,L,3SE2j,11/24/2000 08:39 AM,385050
201,cR8,dMvke,01/02/1988 05:47 PM,407149
202,o7I,Vg5WY,04/09/1996 04:55 PM,726496
203,quAs8,KO,09/30/1997 05:20 PM,439444
204,9Sr,1Ct,12/12/1980 08:01 AM,226367
205,Q9CM,9sB8,07/24/2013 05:42 AM,742086
206,R3Y,qRZ,11/20/1978 10:50 PM,546652
207,XRF,uLM,06/04/2007 06:44 PM,343858
208,bpoji,vznHB,03/08/2002 01:22 AM,324270
209,majLo,43pk,09/16/2011 01:19 PM,354689
210,lZi,T3jB,11/08/2013 10:58 AM,8030
211,fYbTL,Dzs,08/21/1972 05:13 PM,584503
212,6Bb,4,01/19/2009 03:02 PM,617945
213,lE,KOQ7Y,06/26/1973 04:16 PM,631783
214,UtX,B,01/06/2011 08:20 AM,425339
215,gT2W,HKy9,05/10/2012 03:13 AM,781888
216,hrl2w,7,05/04/2012 05:12 AM,104800
217,MS,OS,12/24/1990 10:43 AM,212310
218,uobyu,IaaU,09/13/1992 05:19 PM,405947
219,3eat,i7O,08/29/2005 03:41 PM,206099
220,YT,Ai,10/18/1994 01:38 PM,974452
221,AF9F,21B,11/02/2012 02:09 AM,479089
222,hz,bJE9,11/08/1988 10:39 AM,722216
223,u,mDj,09/05/1985 05:02 PM,779736
224,kJht,XN,07/07/2002 02:12 AM,453579
225,5dA,COT,10/12/2010 03:13 PM,298599
226,tAnh,nUg,06/12/1999 08:34 AM,365477
227,Qkc,Hm,03/04/1998 08:06 AM,620176
228,kh,4goFa,11/09/1979 11:58 AM,716802
229,TZO5,L,07/28/2004 12:40 AM,448971
230,rCa,DSl8,04/05/2001 10:37 PM,282476
231,k,iTx,04/14/1973 01:49 PM,542257
232,fI,JzzT,08/24/1986 10:57 AM,214807
233,dOyM3,yj2tv,10/09/2000 10:41 AM,569760
234,g,ubT,05/03/2012 11:57 AM,399532
235,ob,o,11/13/1971 08:47 PM,311751
236,F,Z,07/03/2011 12:58 AM,311846
237,u1HJo,4HQ,01/10/1999 10:21 PM,455727
238,LN,YJl,09/02/1975 12:25 AM,629857
239,fjrkB,p3D,12/17/2001 08:53 AM,605621
240,u,Ao,08/07/2002 05:54 PM,153752
241,Rg2ud,fQezp,05/13/1976 06:56 PM,545424
242,dfP,yPn,04/01/1982 09:27 PM,897427
243,Hkf5e,I,06/28/2007 02:37 AM,896455
244,V159,KWyri,08/29/1970 09:12 PM,829058
245,LOIJ,pc,11/06/1981 12:57 PM,124881
246,O9UtM,3crVj,03/05/1995 07:50 PM,7470
247,laKz3,co,12/05/2002 01:36 AM,691262
248,FFRtw,sDM,03/26/1970 12:32 AM,222948
249,ge,QVBO,07/07/1999 08:21 PM,589613
250,8563Q,1a,05/04/1996 04:47 AM,228085
251,FDNDB,Ht,11/27/1970 03:59 PM,82331
252,SW,oUkEF,06/23/1982 11:16 PM,859968
253,2to,np,07/07/1985 09:57 AM,496226
254,4A,gK7,12/22/1997 02:55 AM,603336
255,ToHky,4w,04/16/1997 08:48 PM,345466
256,CzvM,J,01/02/1989 12:08 PM,347157
257,Ty,ey7aI,11/26/1985 08:55 PM,528356
258,q,yfRz,09/01/2014 05:06 AM,445115
259,MK,b1f,05/26/1979 10:34 PM,172658
260,DyoWy,Y,01/21/2007 06:54 AM,989995
261,lvC,e4M,11/15/1972 02:30 PM,879029
262,rQR7W,mpBKm,02/20/1995 08:05 AM,217614
263,6E4,tPWwV,03/05/1973 08:06 AM,580112
264,PR,cTrL,12/04/1976 12:30 AM,609051
265,Et9,DOI,08/31/1990 08:47 AM,523270
266,FTDj,fZa3,12/17/1978 03:21 AM,342346
267,BoAG,Z7TzY,08/08/1970 12:18 PM,775470
268,wH,DRy,12/08/1979 01:07 AM,374835
269,f,V,10/07/1996 04:45 PM,133610
270,Ycg1i,w,09/01/1997 11:00 AM,15566
271,tm,pWXJF,03/10/2003 03:58 PM,201171
272,GA,zt,04/05/1986 06:36 PM,217886
273,dJylO,krra,04/23/1983 06:16 AM,552698
274,Ijwe,u6eBR,03/17/2005 06:55 AM,281732
275,BqXQ,dyyO,11/28/1999 06:50 PM,373868
276,Cd,Ek6,03/18/1985 09:41 PM,436645
277,DYcPf,5,09/10/1985 07:11 AM,455135
278,R,Vqf52,10/27/1994 11:23 PM,581502
279,Na,xaWrq,05/22/2001 11:49 PM,847636
280,l6,D7vPQ,06/28/1973 06:57 AM,138733
281,ih,gJ,12/29/1974 01:25 AM,667159
282,chBr,IHn,02/23/1978 02:13 PM,305399
283,Ghi,4EQfn,03/02/1979 05:21 AM,525231
284,xj,1aenp,02/13/1981 01:58 AM,891465
285,9J3,njPZ,12/16/1971 03:50 PM,198561
286,DUJ,QPt,05/29/1993 04:14 PM,216839
287,p1,SpXB,11/14/1981 06:22 AM,41780
288,9HC,eD,01/23/2003 10:19 PM,258568
289,Vkx,3Qf9,02/24/2003 05:07 PM,91023
290,UNqI,8gSt,02/10/1992 07:40 AM,608455
291,1uy,YCl,10/17/1979 07:01 PM,249137
292,E,zvXr5,07/03/2013 02:30 PM,543690
293,oVd,aJ,12/07/2001 05:54 AM,803884
294,RXOb,o,05/07/2007 11:35 AM,24128
295,B,uv,02/06/2005 07:30 AM,699467
296,K,Qi,05/26/2006 05:08 PM,215645
297,85,N2e,08/28/2008 05:25 PM,617741
298,k,ipw6E,04/18/1981 05:07 PM,341181
299,hlRuT,HgE8,03/08/1983 10:11 PM,888296
300,iqQA,8R,10/15/2002 08:40 AM,478616
301,Z,nFoX9,12/09/1980 07:42 PM,105041
302,Jdvp3,8,09/14/1978 01:35 PM,346626
303,qE9,uZtIC,02/08/1987 07:00 AM,359686
304,Plw,nl,04/04/1983 08:50 AM,441392
305,KAbkT,u2cn,01/28/2012 03:02 AM,987798
306,l8PlY,NNOD,08/15/2005 11:25 PM,812504
307,Yqv,s,04/30/1972 10:30 PM,334738
308,NJCB,N,12/03/1970 11:16 AM,773978
309,Jahc,nR,08/22/2008 12:33 AM,272996
310,r,X,10/14/1972 07:03 PM,343733
311,Sz5r,AAc,03/01/1982 11:33 PM,569131
312,ORr,f,08/26/1986 12:15 PM,373383
313,NoX,6,04/29/1973 08:32 AM,627339
314,9I,UGH5e,09/13/2001 12:01 AM,178231
315,F,56r,08/21/2002 03:33 PM,513881
316,OjRds,5wJwa,05/02/2014 09:38 PM,90983
317,FrY,r6uc,11/12/1996 02:15 PM,23862
318,P,o7f8p,07/20/2000 06:25 AM,999255
319,M,mnHzE,08/07/2009 01:41 PM,544126
320,y,6cTeR,03/14/1996 10:54 AM,678973
321,8lq,J,08/30/2000 12:47 AM,589319
322,dH,sjel,07/21/2011 03:03 PM,363080
323,5h,DnT,08/13/1986 02:45 AM,163924
324,7lZ6x,cvTNA,10/20/1977 04:53 PM,907217
325,VlOM,X,07/05/2010 08:43 PM,624067
326,n,x9rwx,12/19/1996 09:54 PM,167294
327,E9,gs,12/11/1999 09:31 PM,226750
328,wjvp,qrF,02/21/2002 03:08 PM,659478
329,B4,L,02/15/1971 12:52 PM,627130
330,q4,oiMZS,12/01/2006 07:34 PM,59149
331,U,5t,03/04/1980 08:00 AM,815574
332,eG79h,2kF,11/08/2005 03:53 PM,778029
333,Q6A,XlpM,12/21/1982 10:31 AM,279596
334,7,ql,08/19/1985 05:33 PM,344780
335,M6wgI,17Y,05/30/1982 10:03 PM,231906
336,NOKuS,Khs,10/08/1970 01:17 AM,545787
337,bt,lrdx,10/03/1972 04:37 PM,572353
338,biK,OWL,04/26/1988 07:49 PM,186989
339,F5,61wzO,05/08/2010 03:34 AM,951047
340,5f,JqeZY,09/28/1983 11:33 AM,400314
341,Da,Kw,07/17/1993 12:52 AM,187675
342,73,C,07/13/2010 09:51 AM,228998
343,pVh,SE8fX,09/24/1983 01:33 PM,593120
344,omP,Nowgi,01/07/2010 10:11 PM,413079
345,c,vp,09/11/2002 02:51 PM,962426
346,Rv,Fa,04/22/1974 04:17 PM,397766
347,F,zk,06/03/2001 01:15 PM,222466
348,NDrZW,f3,05/12/1992 07:01 PM,255218
349,n,Hs,06/08/2001 08:32 PM,438543
350,l,q,08/06/1991 01:52 AM,268628
351,Modis,jpO,09/06/1980 01:12 PM,159191
352,4yfKL,C,08/01/1986 05:43 AM,850183
353,ivAZp,3X,01/18/1986 07:32 AM,233660
354,74Q,ro9,12/02/1991 08:18 AM,514546
355,6l,prL6A,09/03/1991 03:46 AM,162517
356,KLD,cirH,12/10/1978 11:29 PM,739216
357,gpPrA,wk,08/05/1972 08:36 AM,332589
358,g9,Jdu,10/11/1988 10:52 PM,696926
359,K,dOP2O,06/25/1986 07:22 AM,790590
360,BD,uZs9,10/05/1979 02:08 AM,71574
361,vLyUU,qziX,08/15/1996 05:00 PM,839364
362,8Uu,v2i,09/17/1990 03:13 AM,679391
363,yntKY,U,01/10/1987 04:27 PM,74988
364,MdnD,y,07/22/1993 02:40 AM,403161
365,d,l,01/23/1979 12:10 PM,387492
366,a3PU,YPuyX,03/28/2006 12:04 PM,949388
367,mZCi,g,07/25/1971 12:31 PM,911029
368,f4j,xcya,10/20/1998 06:33 PM,663380
369,U,oIkS,07/28/1978 12:19 PM,429736
370,JcnZX,5D,11/14/1995 07:50 PM,199389
371,Ny,id2z,11/24/1970 08:58 AM,224530
372,qqGmY,c,03/20/1998 11:19 AM,120545
373,Ns,Ky,10/21/1992 12:26 AM,920128
374,7CU,v,03/19/2005 12:14 AM,449925
375,CXF,cw,12/06/1970 06:35 PM,880142
376,dMCU,MO,10/03/1973 01:33 AM,963164
377,mcWNF,H,03/07/1997 02:12 AM,50626
378,u9,AY5,10/11/1994 05:44 PM,572138
379,HJj,7PZY,08/13/1976 12:31 PM,340504
380,bxmD,Lo,09/01/1983 08:00 PM,402219
381,Dd,ttX,10/24/1995 08:49 PM,4324
382,8qbG,4,05/14/1981 04:55 AM,658721
383,WyqU,zoy,01/25/2013 03:22 PM,24725
384,S5X,vg,09/01/2006 07:16 PM,802044
385,2,9,08/17/2000 11:11 PM,553973
386,W,OAWAE,04/09/1974 04:41 PM,156091
387,ggdXL,3sFcs,11/02/1978 02:58 PM,955519
388,bUk,CpHWM,04/11/1998 11:46 AM,409057
389,75B,fG,05/06/1986 10:33 PM,514353
390,dE,JpK,12/16/1980 10:55 PM,893345
391,7rl,RIlED,09/21/1997 12:00 AM,222592
392,2zmI,TS,07/17/1986 01:46 AM,890259
393,B3U,FR,04/27/1999 06:52 AM,105897
394,dHl1,YKF,09/13/1981 01:54 AM,863686
395,r91,u,07/24/2008 03:48 PM,596869
396,oJ,J17pp,07/12/1975 05:03 PM,340458
397,cXF,wnjsY,12/17/1974 06:00 AM,467211
398,5ZMab,epn,05/23/1987 06:40 AM,271852
399,kd7,FGl,03/16/1983 02:54 AM,760632
400,B,x,08/29/1992 01:02 AM,454452
401,g,sPk9m,01/05/2007 06:57 PM,302055
402,R7r9,8,07/18/1986 11:31 AM,615709
403,YGzI,RKH2M,04/02/1987 09:04 PM,417102
404,q,QlJ7,09/16/2002 11:23 PM,44015
405,HuTTe,F,09/21/1997 11:57 AM,714499
406,f,P,07/27/2007 09:44 AM,872784
407,uN,bX3,06/30/1989 08:03 AM,381564
408,VrSbT,k,12/10/1985 10:11 PM,270950
409,cW5Ti,GjHg,05/07/1991 04:40 AM,860930
410,GTwp2,xNVtw,04/13/2013 06:32 AM,490866
411,K4zz,ry,09/17/1983 05:45 AM,90088
412,cd3,g,09/21/1987 11:43 PM,441674
413,dgD8,oMuQ,11/22/2004 03:40 PM,844767
414,nFPLf,UvBl2,12/10/2001 01:17 AM,385302
415,eq3,j9Y,09/26/2004 12:46 AM,588456
416,JEjk,jR,07/19/1973 05:30 AM,777611
417,EhUA1,md,04/22/2003 04:59 PM,432247
418,qm,uDd,04/25/2014 12:19 PM,183506
419,R,7,07/19/1997 01:48 AM,209428
420,6y7Z,Phu,11/20/1971 11:36 AM,738978
421,dkBiE,BCqp,11/01/1986 06:52 PM,412392
422,7l3AE,KEbh,01/01/1970 05:28 PM,922129
423,akhp,T4tBe,09/19/1983 07:33 PM,845270
424,FtD8Q,57,11/28/2009 08:37 PM,520809
425,mmz,bho,06/30/2014 07:18 AM,183183
426,5QMd4,fpxO,04/28/2010 04:15 AM,25682
427,x,mt,05/13/2001 08:03 PM,858849
428,SXm,2UC4l,10/21/1972 11:06 AM,427017
429,x,jCvnd,06/12/1994 01:36 AM,135374
430,QW,yoWxw,05/26/2008 04:07 AM,584692
431,Xc,6,02/09/1978 06:41 AM,236233
432,4Rm2,rac,08/05/1980 10:28 PM,48617
433,4Xh,Lf,11/23/1977 10:14 PM,297665
434,E,VeA,08/13/1974 07:44 PM,481733
435,c,nTNL,01/01/1981 07:29 PM,886716
436,FDNN,n,05/04/2010 10:53 PM,627445
437,YPCk,78f,01/08/2006 02:39 AM,810651
438,KzA,YE38,03/20/2014 07:20 AM,651479
439,g,UW,07/23/1977 10:50 PM,954820
440,NA,O,10/21/1987 01:50 PM,122176
441,J4ZtB,un,10/05/2010 01:57 AM,807939
442,rDT,6Nx,04/12/2010 02:15 PM,24439
443,WG,AHCJ,09/17/1982 09:49 AM,119398
444,e1LV,C,09/30/1988 08:03 PM,563969
445,HN,dUT5,12/16/1992 02:36 AM,804107
446,aq,ikH,03/10/2008 08:52 PM,749419
447,QosXC,H86Wj,10/26/1984 05:13 PM,436662
448,PKtG,Ysm8,02/18/2009 08:51 PM,448080
449,ALnL,2,07/31/2006 07:06 AM,115774
450,asAV,q,07/28/1991 01:18 AM,663946
451,T,eUKc,06/22/2000 11:42 AM,232837
452,Ty,2TU,11/28/1977 11:45 AM,473954
453,UKd,HC,05/23/2005 05:25 PM,741838
454,bvraP,PGc,01/10/2012 05:09 PM,435434
455,NZaj,rtF,10/16/2013 12:32 AM,367923
456,NDh,k,01/05/1980 02:00 PM,846683
457,kw4J,Mtnvm,09/14/1975 03:45 AM,769051
458,gD,N,08/20/1999 10:20 PM,846583
459,9rBvZ,G,09/24/2001 11:56 AM,395085
460,B4CG,RDk,01/06/2004 03:07 PM,538885
461,DLNUZ,mLNbD,09/17/1997 09:47 PM,846134
462,W,d,03/17/2003 11:20 AM,718855
463,qlkW7,8NZ3o,08/16/1985 02:07 PM,583197
464,OcB,9T,03/05/2000 04:24 PM,946286
465,M,r9,03/07/1993 06:07 AM,134920
466,G,eKt,12/07/1995 11:37 PM,443692
467,RJt,Z,10/29/1972 04:01 PM,977247
468,RG4,rk,04/09/1976 01:47 PM,793234
469,kE,YU,10/09/1987 10:24 AM,130896
470,lE14,T,03/27/1995 09:20 AM,774313
471,2OcLk,TOb6Y,07/28/1970 10:02 PM,740829
472,AxK,t9a,03/09/1997 04:32 AM,290907
473,KgQO,K3,02/23/1973 05:36 PM,963394
474,fHnw,BGR9,11/04/1989 09:36 AM,667779
475,MMh,wlHpv,09/24/1989 07:06 PM,159381
476,Yc2nD,u,05/04/1975 07:51 PM,45371
477,Djk,B,10/30/1978 10:14 PM,36605
478,YZjC,k,05/25/2004 10:58 AM,901060
479,r,Y,07/08/1971 01:39 PM,373536
480,l,J,07/17/1979 08:59 AM,726746
481,m4BCM,pq,10/06/1995 02:30 PM,998294
482,G2qS,d89,11/12/2012 06:07 AM,700222
483,2iqEb,6z8i,09/01/2005 10:32 PM,993445
484,BMsq,Cph,09/29/2013 02:10 PM,511833
485,D,n,02/07/1998 02:04 PM,917517
486,G,ZhQR,05/08/1977 01:59 AM,541843
487,facM,W,05/27/1975 03:04 PM,78885
488,6g1,v3a,03/09/1982 06:43 PM,887557
489,pOi,B,08/21/1998 03:05 PM,571862
490,4gs,Thoxf,04/17/1989 07:32 PM,331988
491,rqlFw,AxOsf,09/12/1998 02:09 AM,109089
492,2Y,sM,12/17/1977 01:20 AM,636146
493,2,rdxr,12/30/2003 07:17 PM,256520
494,s,my,07/01/2002 09:47 AM,344678
495,W8,Y83qa,11/26/1972 03:32 PM,332388
496,Oc,xJl,03/28/1993 05:47 AM,110410
497,r9,mhzz,09/27/2012 01:44 PM,821841
498,S1xs,ZijT,04/08/1994 06:22 AM,32460
499,5Igg,C8b,12/17/1999 05:57 PM,378241
500,RB,iCa1d,12/13/1977 07:43 PM,269211
501,XA,n9Mj,01/24/2007 03:16 AM,718037
502,wX7ZE,z,06/09/1998 05:39 PM,646039
503,LN,Bfc1M,10/18/1994 12:12 AM,930319
504,clrgP,JiolD,05/05/1988 01:07 PM,650564
505,awz,b1yb3,12/29/1981 03:09 PM,705016
506,ghpxD,AesC,02/03/2003 10:04 PM,929106
507,CdY,al,07/10/1977 06:49 AM,2148
508,Mf,sP4W,12/02/1980 12:48 PM,247226
509,GT,gATe,06/18/1981 01:29 PM,184790
510,IccR,Bz,07/12/2004 08:57 AM,17208
511,3iLQo,L,12/12/2011 03:31 AM,543484
512,MzGI5,i,06/08/1995 12:49 AM,768492
513,Vh6HO,ZV,10/03/1994 01:45 AM,708508
514,GQ,tGZD,01/28/1983 09:13 PM,865799
